Date,Open,High,Low,Close,Volume
2020-01-01 01:00:00,0.0019067,0.0019178,0.0018854,0.0019035,787779.03
2020-01-02 01:00:00,0.0019047,0.0019048,0.0018648,0.0018672,633220.04
2020-01-03 01:00:00,0.0018672,0.0019068,0.0018509,0.0018593,589480.9
2020-01-04 01:00:00,0.0018592,0.001887,0.001852,0.0018764,817587.61
2020-01-05 01:00:00,0.0018763,0.0019168,0.0018641,0.0019087,1056576.0
2020-01-06 01:00:00,0.0019088,0.0019592,0.0019001,0.0019277,1090031.35
2020-01-07 01:00:00,0.0019269,0.001928,0.0018332,0.0018431,698966.49
2020-01-08 01:00:00,0.0018437,0.0018437,0.001755,0.0018048,778891.64
2020-01-09 01:00:00,0.0018048,0.001844,0.0018045,0.00184,829568.5
2020-01-10 01:00:00,0.0018398,0.0018596,0.0018223,0.0018405,894893.35
2020-01-11 01:00:00,0.0018401,0.0018672,0.0018186,0.0018599,1018295.88
2020-01-12 01:00:00,0.0018599,0.0018985,0.0018523,0.0018753,1056037.63
2020-01-13 01:00:00,0.001875,0.0018794,0.0018486,0.0018703,815581.73
2020-01-14 01:00:00,0.0018703,0.0019131,0.0018135,0.0018861,1101504.0
2020-01-15 01:00:00,0.0018862,0.002067,0.001876,0.0020033,1613739.28
2020-01-16 01:00:00,0.0020019,0.0020033,0.0018946,0.0019546,901574.78
2020-01-17 01:00:00,0.0019546,0.0020769,0.0019546,0.0020284,1392140.24
2020-01-18 01:00:00,0.0020277,0.0020505,0.00198,0.0019969,975134.44
2020-01-19 01:00:00,0.0019963,0.0020195,0.0019401,0.0019959,836681.85
2020-01-20 01:00:00,0.0019982,0.0020111,0.0019682,0.0020038,824647.42
2020-01-21 01:00:00,0.0020039,0.0020791,0.0019947,0.0020726,1068200.23
2020-01-22 01:00:00,0.0020729,0.0020999,0.0020328,0.0020535,812097.58
2020-01-23 01:00:00,0.0020534,0.0020534,0.00201,0.0020283,656667.83
2020-01-24 01:00:00,0.0020301,0.002055,0.001987,0.0020253,675264.99
2020-01-25 01:00:00,0.0020248,0.002045,0.0020004,0.0020312,619568.85
2020-01-26 01:00:00,0.0020315,0.0020495,0.002022,0.0020325,721483.46
2020-01-27 01:00:00,0.0020325,0.0020346,0.0019726,0.0019835,573785.11
2020-01-28 01:00:00,0.001983,0.0019947,0.0019103,0.0019274,591972.24
2020-01-29 01:00:00,0.0019258,0.0019665,0.0019123,0.0019253,619863.89
2020-01-30 01:00:00,0.0019276,0.0019598,0.0019107,0.0019503,808241.26
2020-01-31 01:00:00,0.0019515,0.0019973,0.0019284,0.0019538,669056.86
2020-02-01 01:00:00,0.0019538,0.0019683,0.001933,0.0019458,583476.01
2020-02-02 01:00:00,0.001946,0.0019897,0.0019345,0.0019755,699957.53
2020-02-03 01:00:00,0.0019755,0.0019909,0.0019536,0.0019857,629696.96
2020-02-04 01:00:00,0.0019853,0.0019939,0.0019565,0.0019768,538723.36
2020-02-05 01:00:00,0.0019773,0.0020465,0.0019742,0.0020057,1017532.06
2020-02-06 01:00:00,0.0020057,0.0021228,0.0019886,0.0021157,1331596.88
2020-02-07 01:00:00,0.0021156,0.002293,0.0020938,0.0022477,1650720.71
2020-02-08 01:00:00,0.0022464,0.0022637,0.0021575,0.002202,1103946.12
2020-02-09 01:00:00,0.0022019,0.002399,0.0021992,0.0023989,1454017.95
