Date,Open,High,Low,Close,Volume
2021-11-01 00:00:00,53158.0,53174.0,53107.20385958,53108.38770273,0.07142526
2021-11-01 00:05:00,53107.20385958,53107.20385958,52969.0,52978.00452,1.81723886
2021-11-01 00:10:00,52978.0,53093.0,52978.0,53059.0,0.07145407
2021-11-01 00:15:00,53083.0,53183.0,53075.2577,53183.0,0.09798292
2021-11-01 00:20:00,53184.0,53312.095625,53184.0,53258.0,0.27298113
2021-11-01 00:25:00,53274.0,53275.0,53166.0,53178.0,0.40610155000000003
2021-11-01 00:30:00,53186.0,53186.0,53047.0,53103.0,0.10371494
2021-11-01 00:35:00,53107.0,53153.0,53107.0,53149.0,0.00895588
2021-11-01 00:40:00,53166.0,53166.0,53114.96188,53135.0,0.05285967
2021-11-01 00:45:00,53124.47666,53156.0,53093.0,53093.0,0.05051727
2021-11-01 00:50:00,53092.0,53092.0,53039.0,53059.0,0.31757591
2021-11-01 00:55:00,53044.15290084,53089.0,53044.15290084,53062.0,0.07983202
2021-11-01 01:00:00,53059.200495,53113.0,52890.0,53000.367915,1.27900071
2021-11-01 01:05:00,53007.289395,53140.0,53007.289395,53134.0,0.56431828
2021-11-01 01:10:00,53143.0,53281.0,53139.859465,53278.0,0.68320305
2021-11-01 01:15:00,53281.0,53395.0,53281.0,53390.0,13.8724584
2021-11-01 01:20:00,53391.0,53391.0,53248.0,53284.0,0.18440667
2021-11-01 01:25:00,53251.0,53325.0,53250.0,53250.0,0.13828089
2021-11-01 01:30:00,53311.0,53338.0,53233.0,53233.0,0.34722349
2021-11-01 01:35:00,53251.0,53283.0,53251.0,53283.0,0.09238056
2021-11-01 01:40:00,53243.0,53243.0,53145.0,53145.0,0.13012416999999998
2021-11-01 01:45:00,53152.0,53211.0,53152.0,53199.0,0.0048826600000000005
2021-11-01 01:50:00,53198.0,53273.0,53198.0,53270.0,0.00701063
2021-11-01 01:55:00,53272.0,53306.0,53272.0,53306.0,0.42822208
2021-11-01 02:00:00,53307.0,53388.0,53307.0,53378.0,0.17834194
2021-11-01 02:05:00,53381.0,53402.0,53354.03008,53388.0,1.31947388
2021-11-01 02:10:00,53388.0,53422.0,53388.0,53422.0,0.10297349
2021-11-01 02:15:00,53423.0,53441.0,53380.0,53380.0,0.0685281
